شماره کارت,شناسه دستگاه پوز,تاریخ تراکنش,مبلغ تراکنش(ریال),زمان تراکنش
5028062000001304,694900040319,1397/10/02,88560000,081727
5028062000001304,621400040619,1397/10/02,50000000,112659
5028062000001344,694900040919,1397/10/02,35180000,034403
5028062000001350,621400040619,1397/10/02,64820000,145345
5028062000001382,741200040519,1397/10/02,48000000,170307
5028062000001382,293800040401,1397/10/02,43000000,071755
5028062000001430,578500040901,1397/10/02,23360000,054813
5028062000001430,293800040001,1397/10/02,50000000,111736
5028062000001475,694900040719,1397/10/02,52000000,101116
5028062000001579,621400040519,1397/10/02,35000000,093636
5028062000001677,741200040119,1397/10/02,73400000,151716
5028062000001803,694900040419,1397/10/02,88560000,210253
5028062000001803,621400040919,1397/10/02,20180000,041850
5028062000001844,578500040401,1397/10/02,40000000,130449
5028062000002007,578500041201,1397/10/02,70000000,192347
5028062000002012,578500041001,1397/10/02,57000000,053414
5028062000002041,293800041901,1397/10/02,57000000,064308
5028062000002050,741200041419,1397/10/02,35000000,031718
5028062000002050,621400041519,1397/10/02,40000000,181721
5028062000002120,621400041219,1397/10/02,65000000,002641
5028062000002321,621400041519,1397/10/02,43000000,235708
5028062000002407,578500041501,1397/10/02,79480000,081716
5028062000002435,578500041001,1397/10/02,43000000,051748
5028062000002738,621400041019,1397/10/02,79820000,090903
5028062000002777,578500041701,1397/10/02,70000000,013721
5028062000002840,741200041519,1397/10/02,600000,034114
5028062000002845,621400041019,1397/10/02,11440000,221704
5028062000002845,578500041501,1397/10/02,48000000,114854
5028062000002949,293800041901,1397/10/02,64820000,050549
5028062000003034,621400041019,1397/10/02,20520000,100210
5028062000003034,621400041019,1397/10/02,30000000,061704
5028062000003192,741200041819,1397/10/02,600000,195109
5028062000003192,621400041619,1397/10/02,79480000,171712
5028062000003360,621400041919,1397/10/02,64820000,073136
5028062000003360,293800041801,1397/10/02,2000000,021720
5028062000003501,694900041719,1397/10/02,52000000,041607
5028062000003501,578500041301,1397/10/02,23360000,080829
5028062000003540,694900041119,1397/10/02,79820000,150725
5028062000003540,578500041201,1397/10/02,35000000,085125
5028062000003729,621400041719,1397/10/02,60000000,004550
5028062000003751,621400041919,1397/10/02,20520000,120540
5028062000003751,293800041901,1397/10/02,11440000,211720
5028062000003754,293800041801,1397/10/02,70000000,101737
5028062000003902,578500041201,1397/10/02,79480000,151714
5028062000003902,578500041201,1397/10/02,86900000,131408
5028062000003912,621400041319,1397/10/02,35000000,073130
5028062000003912,293800041101,1397/10/02,86900000,193013
5028062000003965,293800041801,1397/10/02,20520000,131737
5028063000000224,741200040719,1397/10/02,43000000,010350
5028063000000224,293800040001,1397/10/02,60000000,195348
5028063000000440,578500040101,1397/10/02,50000000,054732
5028063000000567,741200040619,1397/10/02,20520000,231731
5028063000000666,741200040219,1397/10/02,26600000,023933
5028063000000666,694900040419,1397/10/02,60000000,151010
5028063000000800,694900040019,1397/10/02,23360000,134137
5028063000000800,578500040901,1397/10/02,50000000,145213
5028063000000830,741200040119,1397/10/02,57000000,045942
5028063000000912,578500040601,1397/10/02,79820000,121719
5028063000001001,293800040701,1397/10/02,60000000,133557
5028063000001025,741200040119,1397/10/02,64820000,174759
5028063000001166,578500040001,1397/10/02,600000,094523
5028063000001166,293800040501,1397/10/02,13100000,191750
5028063000001369,578500040901,1397/10/02,52000000,002904
5028063000001369,293800040001,1397/10/02,76640000,152925
5028063000001462,694900040019,1397/10/02,35000000,075123
5028063000001462,293800040801,1397/10/02,35180000,201843
5028063000001545,741200040119,1397/10/02,65000000,164936
5028063000001545,694900040619,1397/10/02,26600000,204917
5028063000001548,694900040319,1397/10/02,30000000,051730
5028063000001548,621400040119,1397/10/02,35180000,074844
5028063000002098,694900041919,1397/10/02,57000000,201749
5028063000002098,578500041601,1397/10/02,35180000,201436
5028063000002099,694900041319,1397/10/02,26600000,081732
5028063000002099,694900041019,1397/10/02,26600000,051639
5028063000002157,578500041801,1397/10/02,64820000,143818
5028063000002575,694900041319,1397/10/02,35000000,141750
5028063000002575,293800041201,1397/10/02,23360000,151930
5028063000002637,578500041701,1397/10/02,79480000,021722
5028063000002637,293800041401,1397/10/02,50000000,072133
5028063000002663,694900041319,1397/10/02,40000000,001701
5028063000002769,621400041919,1397/10/02,48000000,011758
5028063000002769,621400041519,1397/10/02,88560000,213531
5028063000002836,694900041219,1397/10/02,35000000,072546
5028063000002888,621400041019,1397/10/02,52000000,103102
5028063000002895,694900041519,1397/10/02,88560000,111251
5028063000002895,621400041119,1397/10/02,26600000,165642
5028063000003327,694900041519,1397/10/02,52000000,073828
5028063000003337,694900041619,1397/10/02,65000000,104514
5028063000003961,578500041201,1397/10/02,88560000,015755
5028063000003990,621400041319,1397/10/02,48000000,222548
5028064000000012,621400040919,1397/10/02,13100000,201713
5028064000000012,621400040619,1397/10/02,40000000,072813
5028064000000057,694900040219,1397/10/02,35000000,003323
5028064000000057,293800040201,1397/10/02,60000000,110659
5028064000000119,741200040519,1397/10/02,26600000,005734
5028064000000119,621400040919,1397/10/02,52000000,131829
5028064000000198,741200040719,1397/10/02,35180000,011339
5028064000000398,694900040319,1397/10/02,35180000,091712
5028064000000398,293800040201,1397/10/02,35180000,113322
5028064000000600,741200040819,1397/10/02,79820000,120951
5028064000000615,578500040801,1397/10/02,23360000,003637
5028064000000615,293800040801,1397/10/02,35000000,071210
5028064000000732,741200040619,1397/10/02,30000000,000435
5028064000000765,741200040419,1397/10/02,60000000,204159
5028064000000765,293800040301,1397/10/02,57000000,032852
5028064000000806,694900040419,1397/10/02,35000000,223910
5028064000000937,621400040619,1397/10/02,43000000,150352
5028064000000974,578500040801,1397/10/02,86900000,012140
5028064000001192,578500040601,1397/10/02,35000000,061442
5028064000001250,621400040619,1397/10/02,64820000,233158
5028064000001343,694900040619,1397/10/02,30000000,090840
5028064000001359,621400040819,1397/10/02,79480000,091729
5028064000001375,741200040519,1397/10/02,35000000,233343
5028064000001443,293800040701,1397/10/02,40000000,203605
5028064000001443,293800040501,1397/10/02,57000000,222525
5028064000001483,621400040619,1397/10/02,76640000,223419
5028064000001600,621400040319,1397/10/02,50000000,162813
5028064000001663,694900040619,1397/10/02,40000000,032717
5028064000001774,293800040001,1397/10/02,50000000,090427
5028064000001925,741200040719,1397/10/02,50000000,231518
5028064000001925,694900040619,1397/10/02,70000000,121741
5028064000002088,694900041319,1397/10/02,60000000,084859
5028064000002088,578500041201,1397/10/02,57000000,031701
5028064000002134,694900041319,1397/10/02,50000000,053142
5028064000002151,694900041519,1397/10/02,35180000,180211
5028064000002249,578500041301,1397/10/02,76640000,213142
5028064000002258,694900041919,1397/10/02,50000000,140608
5028064000002386,621400041519,1397/10/02,60000000,115020
5028064000002419,694900041219,1397/10/02,35180000,105259
5028064000002419,578500041301,1397/10/02,70000000,060106
5028064000002420,694900041319,1397/10/02,105000000,161702
5028064000002420,694900041119,1397/10/02,64820000,194012
5028064000002605,621400041519,1397/10/02,60000000,115836
5028064000002675,578500041201,1397/10/02,35000000,211730
5028064000002677,741200041719,1397/10/02,86900000,185705
5028064000002677,621400041019,1397/10/02,76640000,020959
5028064000002839,621400041719,1397/10/02,23360000,163608
5028064000002983,741200041719,1397/10/02,73400000,071818
5028064000002983,621400041819,1397/10/02,600000,194521
5028064000003149,694900041219,1397/10/02,79480000,213810
5028064000003149,293800041901,1397/10/02,43000000,101439
5028064000003180,578500041301,1397/10/02,76640000,125336
5028064000003347,741200041719,1397/10/02,600000,140712
5028064000003765,578500041201,1397/10/02,13100000,042055
5028064000003765,578500041201,1397/10/02,13100000,111224
5028064000003834,694900041519,1397/10/02,48000000,133136
5028064000003834,293800041101,1397/10/02,26600000,033843
5028064000003854,293800041601,1397/10/02,43000000,173404
5028065000000034,578500040801,1397/10/02,35000000,172019
5028065000000056,741200040719,1397/10/02,35180000,071649
5028065000000056,741200040419,1397/10/02,35180000,051743
5028065000000059,293800040601,1397/10/02,23360000,164725
5028065000000059,293800040201,1397/10/02,76640000,191701
5028065000000148,741200040219,1397/10/02,88560000,162212
5028065000000148,578500040801,1397/10/02,30000000,171739
5028065000000191,621400040019,1397/10/02,60000000,165056
5028065000000220,694900040019,1397/10/02,60000000,191759
5028065000000357,694900040119,1397/10/02,40000000,215326
5028065000000483,578500040301,1397/10/02,79820000,203045
5028065000000788,694900040419,1397/10/02,20180000,122509
5028065000000788,578500040101,1397/10/02,57000000,085809
5028065000000825,621400040519,1397/10/02,35180000,084615
5028065000000825,293800040701,1397/10/02,50000000,234552
5028065000001103,694900040119,1397/10/02,60000000,013428
5028065000001164,621400040819,1397/10/02,64820000,192607
5028065000001241,621400040619,1397/10/02,20180000,131932
5028065000001241,293800040301,1397/10/02,600000,150218
5028065000001318,741200040519,1397/10/02,64820000,041655
5028065000001318,741200040519,1397/10/02,64820000,201602
5028065000001399,293800040001,1397/10/02,40000000,004128
5028065000001400,741200040519,1397/10/02,64820000,151741
5028065000001467,293800040201,1397/10/02,57000000,011632
5028065000001637,293800040901,1397/10/02,52000000,231131
5028065000001720,621400040319,1397/10/02,64820000,032241
5028065000001761,621400040819,1397/10/02,35180000,011145
5028065000001761,293800040001,1397/10/02,79480000,123316
5028065000001855,578500040101,1397/10/02,79820000,045006
5028065000001855,578500040001,1397/10/02,23360000,081121
5028065000002029,741200041019,1397/10/02,13100000,062702
5028065000002073,694900041019,1397/10/02,600000,081815
5028065000002092,694900041319,1397/10/02,86900000,040740
5028065000002278,741200041219,1397/10/02,48000000,025755
5028065000002311,694900041719,1397/10/02,57000000,163950
5028065000002399,694900041119,1397/10/02,40000000,210429
5028065000002399,293800041701,1397/10/02,26600000,105211
5028065000002488,621400041919,1397/10/02,43000000,064351
5028065000002488,621400041119,1397/10/02,64820000,183731
5028065000002526,741200041519,1397/10/02,88560000,140703
5028065000002526,578500041201,1397/10/02,60000000,195117
5028065000002540,694900041319,1397/10/02,13100000,232702
5028065000002540,621400041319,1397/10/02,57000000,190430
5028065000002562,694900041719,1397/10/02,52000000,230246
5028065000002562,621400041919,1397/10/02,86900000,130705
5028065000002640,694900041719,1397/10/02,50000000,231732
5028065000002640,293800041401,1397/10/02,30000000,214551
5028065000002664,621400041819,1397/10/02,20180000,133502
5028065000002664,578500041601,1397/10/02,57000000,171607
5028065000002703,694900041819,1397/10/02,35000000,063151
5028065000002798,694900041319,1397/10/02,40000000,134933
5028065000002798,621400041519,1397/10/02,79820000,052454
5028065000002808,578500041901,1397/10/02,57000000,232307
5028065000002820,578500041301,1397/10/02,88560000,061233
5028065000002838,741200041419,1397/10/02,57000000,054257
5028065000002843,694900041819,1397/10/02,64820000,113759
5028065000002843,578500041001,1397/10/02,79480000,191706
5028065000002940,694900041319,1397/10/02,52000000,094918
5028065000002940,578500041201,1397/10/02,48000000,221024
5028065000002976,694900041719,1397/10/02,600000,194433
5028065000002976,578500041401,1397/10/02,57000000,051703
5028065000003283,293800041801,1397/10/02,40000000,105505
5028065000003283,293800041001,1397/10/02,79480000,170814
5028065000003352,621400041919,1397/10/02,79820000,234233
5028065000003391,694900041819,1397/10/02,79820000,034629
5028065000003391,694900041119,1397/10/02,600000,045121
5028065000003442,578500041901,1397/10/02,57000000,170849
5028065000003450,621400041519,1397/10/02,40000000,065021
5028065000003489,621400041519,1397/10/02,70000000,203409
5028065000003534,621400041819,1397/10/02,57000000,014324
5028065000003567,578500041201,1397/10/02,26600000,093359
5028066000000353,578500040601,1397/10/02,48000000,185652
5028066000000475,694900040219,1397/10/02,79480000,055515
5028066000000587,621400040519,1397/10/02,26600000,113629
5028066000000587,578500040001,1397/10/02,73400000,001744
5028066000000627,741200040819,1397/10/02,48000000,131707
5028066000000627,293800040401,1397/10/02,76640000,100927
5028066000000820,741200040219,1397/10/02,60000000,020304
5028066000000820,293800040001,1397/10/02,20520000,195015
5028066000000873,694900040319,1397/10/02,52000000,061653
5028066000000873,621400040519,1397/10/02,20520000,011902
5028066000000920,621400040319,1397/10/02,35180000,113442
5028066000001001,578500040801,1397/10/02,2040000,063309
5028066000001039,621400040419,1397/10/02,30000000,131745
5028066000001039,578500040801,1397/10/02,64820000,185050
5028066000001112,293800041901,1397/10/02,3200000,173117
5028066000001114,578500040701,1397/10/02,50000000,040743
5028066000001119,578500040401,1397/10/02,3320000,212033
5028066000001156,694900040919,1397/10/02,64820000,210452
5028066000001156,578500040901,1397/10/02,57000000,101547
5028066000001339,578500040701,1397/10/02,73400000,035321
5028066000001362,293800040001,1397/10/02,35180000,230435
5028066000001493,694900040319,1397/10/02,23360000,061708
5028066000001493,293800040401,1397/10/02,35180000,071756
5028066000001516,694900040919,1397/10/02,48000000,103517
5028066000001516,694900040219,1397/10/02,57000000,063958
5028066000001554,741200040319,1397/10/02,43000000,090326
5028066000001555,694900040719,1397/10/02,70000000,075823
5028066000001901,694900040119,1397/10/02,76640000,175741
5028066000001901,578500040001,1397/10/02,20520000,213727
5028066000001921,694900040219,1397/10/02,600000,173229
5028066000002080,694900041319,1397/10/02,600000,131128
5028066000002080,621400041619,1397/10/02,600000,191652
5028066000002152,621400041519,1397/10/02,52000000,064746
5028066000002274,621400041519,1397/10/02,40000000,121307
5028066000002274,293800041201,1397/10/02,50000000,193143
5028066000002358,621400041519,1397/10/02,35000000,133122
5028066000002485,741200041119,1397/10/02,35180000,033110
5028066000002485,578500041401,1397/10/02,52000000,221510
5028066000002505,293800041101,1397/10/02,48000000,075628
5028066000002600,293800041401,1397/10/02,35000000,172231
5028066000002671,293800041301,1397/10/02,79820000,040459
5028066000002758,621400041219,1397/10/02,79480000,052454
5028066000002837,741200041119,1397/10/02,35000000,065955
5028066000002837,621400041519,1397/10/02,40000000,065207
5028066000002848,741200041219,1397/10/02,13100000,105501
5028066000002848,694900041619,1397/10/02,35000000,051745
5028066000002887,578500041401,1397/10/02,70000000,052028
5028066000003049,578500041201,1397/10/02,13100000,210345
5028066000003049,578500041001,1397/10/02,35180000,174632
5028066000003064,578500041001,1397/10/02,30000000,022247
5028066000003333,293800041301,1397/10/02,76640000,083121
5028066000003416,694900041919,1397/10/02,50000000,045553
5028066000003437,741200041519,1397/10/02,79820000,005133
5028066000003461,578500041701,1397/10/02,52000000,081713
5028066000003461,293800041601,1397/10/02,73400000,011648
5028066000003663,293800041401,1397/10/02,50000000,082857
5028066000003703,694900041819,1397/10/02,79820000,103645
5028066000003703,293800041701,1397/10/02,30000000,133952
5028066000003831,694900041619,1397/10/02,43000000,012125
5028066000003831,578500041601,1397/10/02,60000000,015308
5028067000000013,621400040919,1397/10/02,600000,192304
5028067000000013,578500040101,1397/10/02,43000000,091941
5028067000000133,621400040119,1397/10/02,30000000,215821
5028067000000133,578500040601,1397/10/02,20520000,183952
5028067000000137,621400040519,1397/10/02,76640000,112352
5028067000000195,741200040119,1397/10/02,11440000,221759
5028067000000195,694900040419,1397/10/02,11440000,054157
5028067000000325,578500040701,1397/10/02,52000000,061553
5028067000000540,694900040419,1397/10/02,43000000,110643
5028067000000540,578500040601,1397/10/02,60000000,071748
5028067000000597,621400040119,1397/10/02,43000000,222708
5028067000000597,578500040301,1397/10/02,57000000,091704
5028067000000648,621400040519,1397/10/02,60000000,202905
5028067000000998,621400040619,1397/10/02,52000000,015450
5028067000000998,293800040701,1397/10/02,65000000,061625
5028067000001037,621400040419,1397/10/02,48000000,201706
5028067000001048,578500040801,1397/10/02,43000000,103740
5028067000001197,694900040019,1397/10/02,79820000,054840
5028067000001327,694900040019,1397/10/02,105000000,231709
5028067000001327,293800040001,1397/10/02,79820000,184208
5028067000001549,694900040119,1397/10/02,76640000,171048
5028067000001568,621400040519,1397/10/02,50000000,013607
5028067000001568,293800040901,1397/10/02,57000000,171753
5028067000001679,741200040919,1397/10/02,35180000,104724
5028067000001679,293800040701,1397/10/02,26600000,121714
5028067000001821,741200040419,1397/10/02,35180000,102848
5028067000001821,694900040719,1397/10/02,50000000,060209
5028067000001904,293800040401,1397/10/02,73400000,120913
5028067000001927,694900040719,1397/10/02,76640000,035316
5028067000001927,293800040801,1397/10/02,65000000,014120
5028067000002111,293800041601,1397/10/02,50000000,100143
5028067000002216,578500041101,1397/10/02,30000000,230249
5028067000002297,578500041801,1397/10/02,50000000,010626
5028067000002436,578500041701,1397/10/02,76640000,010258
5028067000002445,741200041219,1397/10/02,57000000,203336
5028067000002587,621400041619,1397/10/02,79820000,104647
5028067000002608,621400041519,1397/10/02,23360000,015754
5028067000002608,621400041219,1397/10/02,48000000,110259
5028067000002749,293800041901,1397/10/02,64820000,073340
5028067000002799,694900041919,1397/10/02,30000000,183406
5028067000002908,694900041719,1397/10/02,48000000,113452
5028067000002908,293800041101,1397/10/02,88560000,041024
5028067000003017,621400041219,1397/10/02,20520000,161717
5028067000003017,293800041601,1397/10/02,105000000,194806
5028067000003158,694900041119,1397/10/02,26600000,011853
5028067000003158,293800041101,1397/10/02,50000000,031758
5028067000003344,578500041001,1397/10/02,76640000,095522
5028067000003620,741200041619,1397/10/02,76640000,064910
5028067000003656,694900041919,1397/10/02,20520000,040514
5028067000003689,621400041019,1397/10/02,26600000,181741
5028067000003689,293800041401,1397/10/02,52000000,175421
5028067000003777,293800041401,1397/10/02,35000000,212535
5028068000000009,741200040919,1397/10/02,13100000,083550
5028068000000163,741200040519,1397/10/02,52000000,005119
5028068000000163,293800040701,1397/10/02,88560000,234345
5028068000000173,578500040801,1397/10/02,70000000,124111
5028068000000253,621400040919,1397/10/02,11440000,220350
5028068000000253,578500040901,1397/10/02,79820000,192458
5028068000000254,293800040501,1397/10/02,105000000,121749
5028068000000254,293800040401,1397/10/02,70000000,000636
5028068000000261,694900040119,1397/10/02,60000000,191635
5028068000000367,741200040119,1397/10/02,76640000,174055
5028068000000367,694900040719,1397/10/02,57000000,093252
5028068000000417,741200040519,1397/10/02,79480000,122358
5028068000000493,741200040519,1397/10/02,43000000,104854
5028068000001154,694900040919,1397/10/02,105000000,221752
5028068000001154,694900040619,1397/10/02,48000000,091915
5028068000001174,293800040001,1397/10/02,48000000,223235
5028068000001187,694900040919,1397/10/02,23360000,073237
5028068000001187,578500040601,1397/10/02,105000000,191740
5028068000001216,741200040419,1397/10/02,73400000,121253
5028068000001216,694900040919,1397/10/02,26600000,201532
5028068000001341,621400040519,1397/10/02,57000000,061749
5028068000001341,293800040401,1397/10/02,64820000,215246
5028068000001526,293800040401,1397/10/02,70000000,235721
5028068000001655,621400040519,1397/10/02,57000000,211033
5028068000001722,578500040801,1397/10/02,35000000,074421
5028068000001722,578500040301,1397/10/02,60000000,050312
5028068000001851,578500040901,1397/10/02,48000000,035457
5028068000002022,578500041901,1397/10/02,40000000,022212
5028068000002022,578500041901,1397/10/02,86900000,183955
5028068000002070,578500041401,1397/10/02,20180000,181605
5028068000002070,578500041301,1397/10/02,20180000,151749
5028068000002146,293800041201,1397/10/02,52000000,052544
5028068000002197,741200041119,1397/10/02,600000,180647
5028068000002252,578500041501,1397/10/02,65000000,162835
5028068000002268,293800041101,1397/10/02,60000000,080835
5028068000002369,293800041101,1397/10/02,40000000,132552
5028068000002459,694900041319,1397/10/02,40000000,093923
5028068000002615,293800041401,1397/10/02,30000000,164913
5028068000002812,694900041619,1397/10/02,79820000,113551
5028068000002812,621400041319,1397/10/02,48000000,161741
5028068000002977,694900041319,1397/10/02,70000000,122406
5028068000003021,578500041501,1397/10/02,79820000,063126
5028068000003081,741200041819,1397/10/02,70000000,075510
5028068000003081,578500041801,1397/10/02,50000000,102144
5028068000003127,741200041119,1397/10/02,35000000,035710
5028068000003244,694900041119,1397/10/02,79820000,001702
5028068000003244,578500041401,1397/10/02,57000000,053951
5028068000003262,293800041801,1397/10/02,48000000,221937
