شماره کارت,شناسه دستگاه ATM,زمان,تاریخ
6276480000105970,341542,050152,1397/10/05
6280234000000027,341542,062748,1397/10/05
6037999000000834,341542,075847,1397/10/05
6362140000004058,341542,093517,1397/10/05
5029380000004192,341542,093523,1397/10/05
5057850000001144,341639,100340,1397/10/02
5029380000001139,341639,100350,1397/10/07
5028060000103563,341639,010143,1397/10/06
6037706000002903,341639,110256,1397/10/06
5028061000000965,341639,011742,1397/10/06
6219864000001083,341639,121936,1397/10/06
6369490000004109,341639,134708,1397/10/06
6221066000002606,341639,145432,1397/10/08
6037699000003150,341639,152000,1397/10/06
6396070000100222,341639,155540,1397/10/03
6396070000102465,341639,155540,1397/10/05
6396070000105620,341639,155540,1397/10/08
6362140000004165,341639,162932,1397/10/06
6104336000002315,341639,174255,1397/10/06
6396070000102501,341639,185541,1397/10/04
6396070000102188,341639,185541,1397/10/07
5029380000004110,341639,191220,1397/10/06
6037998000003388,341639,202805,1397/10/06
6219864000000293,341639,215919,1397/10/06
6104334000003220,341639,021647,1397/10/06
6037692000002915,341639,231522,1397/10/06
5892109000003565,341639,033222,1397/10/06
6280231000002660,341639,050152,1397/10/06
6104330000003139,341639,051022,1397/10/03
6369490000004161,341639,062748,1397/10/06
6104331000002322,341639,075847,1397/10/06
6393460000106714,341639,093517,1397/10/06
5029380000004192,341639,093523,1397/10/06
5057850000001145,341736,100340,1397/10/03
5029380000001130,341736,100350,1397/10/02
5028062000003360,341736,010143,1397/10/07
6104330000003139,341736,104304,1397/10/04
6221066000002606,341736,105328,1397/10/08
6104337000000307,341736,110256,1397/10/07
6396070000105620,341736,114841,1397/10/03
6396070000100222,341736,114841,1397/10/04
6396070000102465,341736,114841,1397/10/06
6273810000103758,341736,121936,1397/10/07
6395993000003842,341736,134708,1397/10/07
6063730000099877,341736,152000,1397/10/07
6396070000102188,341736,155940,1397/10/08
6369490000004026,341736,162932,1397/10/07
6221067000001894,341736,174255,1397/10/07
5892102000002402,341736,191220,1397/10/07
6104331000001802,341736,202805,1397/10/07
6273810000102854,341736,215919,1397/10/07
6221061000001597,341736,021647,1397/10/07
6037998000000235,341736,231522,1397/10/07
6396070000102501,341736,023924,1397/10/05
6037691000001595,341736,033222,1397/10/07
5028061000000965,341736,042620,1397/10/05
6367950000104120,341736,050152,1397/10/07
5028064000002677,341736,062757,1397/10/07
6219867000003667,341736,075847,1397/10/07
6393469000000099,341736,093517,1397/10/07
5041726000000689,341736,093523,1397/10/07
5057850000001184,341833,100340,1397/10/04
5029380000001140,341833,100350,1397/10/03
5041721000001711,341833,010143,1397/10/08
6221068000000284,341833,110256,1397/10/08
6396070000102465,341833,110436,1397/10/03
6396070000105620,341833,110436,1397/10/06
6396070000100222,341833,110436,1397/10/07
5028061000000965,341833,011514,1397/10/08
6274120000004096,341833,121936,1397/10/08
6104330000003139,341833,133743,1397/10/07
6395999000002937,341833,134708,1397/10/08
6104331000003602,341833,152000,1397/10/08
6395990000101530,341833,162932,1397/10/08
6280234000003247,341833,174255,1397/10/08
6037707000002665,341833,191220,1397/10/08
6396070000102188,341833,195902,1397/10/05
6396070000102501,341833,195902,1397/10/08
6104339000002883,341833,202805,1397/10/08
6274120000004096,341833,215919,1397/10/08
6221065000002366,341833,021647,1397/10/08
6219866000002828,341833,231522,1397/10/08
6037696000003006,341833,033222,1397/10/08
6369490000004126,341833,050152,1397/10/08
5028068000003310,341833,062757,1397/10/08
6221062000000008,341833,075847,1397/10/08
5028068000000253,341833,093523,1397/10/08
5041726000002568,341833,093500,1397/10/08
6221066000002606,341833,094920,1397/10/06
5029380000001138,341930,100340,1397/10/05
5029380000001141,341930,100350,1397/10/04
6221066000002606,341930,100350,1397/10/07
5057850000004012,341930,010143,1397/10/09
6396070000102501,341930,010615,1397/10/03
6396070000102188,341930,010615,1397/10/06
6280235000003402,341930,110256,1397/10/09
6281570000105348,341930,121936,1397/10/09
5029380000004130,341930,134852,1397/10/09
6219868000003211,341930,152000,1397/10/09
6396070000102465,341930,160157,1397/10/04
6396070000105620,341930,160157,1397/10/07
6396070000100222,341930,160157,1397/10/08
6395996000001146,341930,162932,1397/10/09
6369490000004170,341930,174255,1397/10/09
6104337000002563,341930,191220,1397/10/09
6219863000000002,341930,202805,1397/10/09
6104330000003139,341930,204227,1397/10/08
6281570000104751,341930,215919,1397/10/09
6276480000106533,341930,021647,1397/10/09
6274120000004162,341930,231522,1397/10/09
5028061000000965,341930,231808,1397/10/06
6037701000002138,341930,033222,1397/10/09
6395994000002923,341930,050152,1397/10/09
5057850000004041,341930,062757,1397/10/09
6274120000004180,341930,075847,1397/10/09
5029380000004032,341930,093523,1397/10/09
5892106000002909,341930,093500,1397/10/09
5029380000001139,342027,100340,1397/10/06
5057850000001144,342027,100350,1397/10/04
5057850000001113,342027,100350,1397/10/05
5894630000101179,342027,010143,1397/10/10
6369490000004183,342027,110256,1397/10/10
6396070000102465,342027,120440,1397/10/03
6396070000105620,342027,120440,1397/10/06
6396070000100222,342027,120440,1397/10/07
6362140000004092,342027,121936,1397/10/10
5892103000002189,342027,134852,1397/10/10
6221062000002364,342027,152000,1397/10/10
6396070000102188,342027,152354,1397/10/05
6396070000102501,342027,152354,1397/10/08
5029380000004107,342027,163032,1397/10/10
5028060000101295,342027,174315,1397/10/10
6221068000002588,342027,191220,1397/10/10
6219867000002601,342027,202805,1397/10/10
6362140000004087,342027,215919,1397/10/10
6280231000003386,342027,021647,1397/10/10
6362140000004152,342027,231522,1397/10/10
6037991000002090,342027,033222,1397/10/10
6396070000101673,342027,050152,1397/10/10
5057850000004149,342027,062757,1397/10/10
5028061000000965,342027,065650,1397/10/04
6277600000104684,342027,075847,1397/10/10
6221066000002606,342027,080238,1397/10/06
6104330000003139,342027,092939,1397/10/07
5057850000004138,342027,093523,1397/10/10
5892106000003513,342027,093500,1397/10/10
5057850000001145,342124,100350,1397/10/05
5057850000001114,342124,100350,1397/10/06
6037691000003186,342124,010143,1397/10/01
5028064000002677,342124,110259,1397/10/01
6396070000102465,342124,120910,1397/10/04
6396070000105620,342124,120910,1397/10/07
6396070000100222,342124,120910,1397/10/08
6393463000002082,342124,121936,1397/10/01
6037708000001932,342124,134852,1397/10/01
6274120000100039,342124,152000,1397/10/01
5892102000001033,342124,163032,1397/10/01
5028062000000975,342124,174315,1397/10/01
6280236000002906,342124,191220,1397/10/01
6396070000102501,342124,191426,1397/10/03
6396070000102188,342124,191426,1397/10/06
6221061000003498,342124,202805,1397/10/01
6221066000002606,342124,020542,1397/10/07
6393463000000960,342124,215919,1397/10/01
6367950000105293,342124,021647,1397/10/01
6104330000003139,342124,222741,1397/10/08
6395990000001117,342124,231522,1397/10/01
6037996000001754,342124,033222,1397/10/01
5028065000002640,342124,050200,1397/10/01
6037694000000604,342124,062757,1397/10/01
5028061000000965,342124,074422,1397/10/05
6362140000004158,342124,075847,1397/10/01
6037690000002474,342124,093523,1397/10/01
5058010000101275,342124,093500,1397/10/01
5057850000001125,342221,100350,1397/10/02
5057850000001184,342221,100359,1397/10/06
6037992000000690,342221,010143,1397/10/02
5028068000003310,342221,110259,1397/10/02
6396070000102188,342221,112137,1397/10/04
6396070000102501,342221,112137,1397/10/07
6396070000105620,342221,112352,1397/10/05
6396070000100222,342221,112352,1397/10/06
6396070000102465,342221,112352,1397/10/08
6393470000104028,342221,121936,1397/10/02
6104338000000175,342221,134852,1397/10/02
6279610000099939,342221,152000,1397/10/02
6037707000001105,342221,163032,1397/10/02
6104330000003139,342221,163702,1397/10/06
5029380000103355,342221,174315,1397/10/02
6221066000002606,342221,184120,1397/10/05
6369490000101410,342221,191220,1397/10/02
6273530000106397,342221,202805,1397/10/02
5028061000000965,342221,211558,1397/10/10
6393470000103141,342221,215919,1397/10/02
6369490000004126,342221,021647,1397/10/02
5028060000001678,342221,231536,1397/10/02
6104330000003538,342221,033222,1397/10/02
5028069000003099,342221,050200,1397/10/02
6037699000001791,342221,062757,1397/10/02
6369490000004011,342221,075847,1397/10/02
6037698000002705,342221,093523,1397/10/02
6037690000002907,342221,093500,1397/10/02
5029380000001141,342318,100340,1397/10/02
5057850000001133,342318,100350,1397/10/03
6037997000000227,342318,010143,1397/10/03
5057850000004041,342318,110259,1397/10/03
5028061000000965,342318,111539,1397/10/03
6396070000105620,342318,113909,1397/10/05
6396070000100222,342318,113909,1397/10/06
6396070000102465,342318,113909,1397/10/08
5028060000003809,342318,122008,1397/10/03
6396070000102188,342318,131244,1397/10/04
6396070000102501,342318,131244,1397/10/07
6221069000000135,342318,134852,1397/10/03
6362140000004165,342318,152000,1397/10/03
6104337000002306,342318,163032,1397/10/03
5054160000102697,342318,174315,1397/10/03
5028060000104734,342318,191221,1397/10/03
6274120000004053,342318,202805,1397/10/03
5028060000099709,342318,215927,1397/10/03
6395994000003626,342318,021647,1397/10/03
5028061000000942,342318,231536,1397/10/03
6104333000001983,342318,033222,1397/10/03
5057850000004081,342318,050200,1397/10/03
6221066000002606,342318,054333,1397/10/05
6037999000003173,342318,062757,1397/10/03
6395990000003705,342318,075847,1397/10/03
6104330000003139,342318,082807,1397/10/06
6037990000003522,342318,093523,1397/10/03
6037703000001616,342318,093500,1397/10/03
5057850000001113,342415,100340,1397/10/03
6219860000102895,342415,010143,1397/10/11
6396070000105620,342415,103058,1397/10/06
5057850000004149,342415,110259,1397/10/11
6395997000001667,342415,011114,1397/10/04
5028061000001973,342415,122008,1397/10/11
6396070000100222,342415,123301,1397/10/04
6396070000102465,342415,123301,1397/10/06
6396070000105620,342415,123301,1397/10/09
6280237000001537,342415,134852,1397/10/11
6369490000004026,342415,152000,1397/10/11
6395997000001667,342415,155752,1397/10/09
6221068000001957,342415,163032,1397/10/11
6396070000102188,342415,174054,1397/10/08
5892109000000370,342415,174315,1397/10/11
6221066000002606,342415,182921,1397/10/08
5028063000000224,342415,191221,1397/10/11
6396070000102501,342415,192638,1397/10/05
6274120000004180,342415,202805,1397/10/04
5028061000003859,342415,215927,1397/10/04
6396070000102188,342415,021647,1397/10/04
5029380000004186,342415,231536,1397/10/04
5028061000000965,342415,232756,1397/10/05
6219860000099698,342415,033222,1397/10/04
6104330000003139,342415,042037,1397/10/04
5057850000004178,342415,050200,1397/10/04
6104331000003189,342415,062757,1397/10/04
6395995000002959,342415,075847,1397/10/04
6104331000000260,342415,093523,1397/10/04
6037990000003869,342415,093500,1397/10/04
5057850000001114,342512,100340,1397/10/04
6219865000002226,342512,010143,1397/10/11
6396070000105620,342512,101753,1397/10/05
6396070000100222,342512,101753,1397/10/06
6396070000102465,342512,101753,1397/10/08
6037694000000604,342512,110259,1397/10/03
5029380000004197,342512,122008,1397/10/03
6369490000105366,342512,134852,1397/10/03
6395990000102206,342512,152000,1397/10/03
6280236000001702,342512,163032,1397/10/03
6037690000106235,342512,174315,1397/10/03
5029380000004091,342512,191221,1397/10/03
6396070000102188,342512,193637,1397/10/04
6396070000102501,342512,193637,1397/10/07
6277600000103624,342512,202805,1397/10/05
5028061000000965,342512,203123,1397/10/03
5029380000099846,342512,215927,1397/10/05
5028064000003149,342512,021700,1397/10/05
5041725000003573,342512,231536,1397/10/05
6221066000002606,342512,232605,1397/10/05
6104330000003139,342512,031017,1397/10/06
6219864000003071,342512,033222,1397/10/05
6037695000001401,342512,050200,1397/10/05
6219868000001928,342512,062757,1397/10/05
5029380000004143,342512,075853,1397/10/05
6104335000000209,342512,093523,1397/10/05
6037993000003695,342512,093548,1397/10/05
5057850000001125,342609,100340,1397/10/05
6274120000004015,342609,010143,1397/10/06
6037699000001725,342609,110259,1397/10/06
5041728000002110,342609,122008,1397/10/06
5029380000004140,342609,134918,1397/10/06
6396070000100222,342609,144656,1397/10/03
6396070000102465,342609,144656,1397/10/05
6396070000105620,342609,144656,1397/10/08
6221066000002606,342609,144600,1397/10/08
6395996000001574,342609,152000,1397/10/06
6396070000102501,342609,155752,1397/10/04
6396070000102188,342609,155752,1397/10/07
6104330000003139,342609,162226,1397/10/03
6369490000099104,342609,163032,1397/10/06
6037991000000377,342609,174315,1397/10/06
5041722000002566,342609,191221,1397/10/06
5028061000000965,342609,201034,1397/10/06
6281570000100811,342609,202805,1397/10/06
5054160000099598,342609,215927,1397/10/06
5028068000003554,342609,021700,1397/10/06
5892106000001969,342609,231536,1397/10/06
6221060000100707,342609,033222,1397/10/06
6037700000099195,342609,050200,1397/10/06
6221062000001079,342609,062757,1397/10/06
5892104000002132,342609,075853,1397/10/06
6221061000002338,342609,093523,1397/10/06
6037993000003975,342609,093548,1397/10/06
5057850000001133,342706,100340,1397/10/06
5028061000000965,342706,101220,1397/10/05
6274120000004121,342706,010143,1397/10/07
6037999000003173,342706,110259,1397/10/07
5892107000003233,342706,122008,1397/10/07
5892103000003910,342706,134918,1397/10/07
5028065000000357,342706,152105,1397/10/07
5029380000004140,342706,163141,1397/10/07
6396070000102501,342706,171844,1397/10/03
6396070000102188,342706,171844,1397/10/06
6037995000003143,342706,174315,1397/10/07
6396070000102465,342706,191221,1397/10/04
6396070000105620,342706,191221,1397/10/07
5057850000004021,342706,191200,1397/10/07
6396070000100222,342706,191221,1397/10/08
6362140000004067,342706,202805,1397/10/07
5892108000002456,342706,215927,1397/10/07
5057850000004043,342706,021700,1397/10/07
6104330000003139,342706,021819,1397/10/08
6037690000001649,342706,231536,1397/10/07
6221066000002606,342706,234230,1397/10/07
6221064000000558,342706,033222,1397/10/07
6063730000106236,342706,050200,1397/10/07
6274120000099029,342706,062757,1397/10/07
6037709000000078,342706,075853,1397/10/07
6221065000003046,342706,093523,1397/10/07
6104339000000829,342706,093548,1397/10/07
5057850000001144,342803,100340,1397/10/07
6362140000004014,342803,010143,1397/10/08
6396070000105620,342803,010908,1397/10/03
6396070000100222,342803,010908,1397/10/04
6396070000102465,342803,010908,1397/10/06
6104331000003189,342803,110259,1397/10/08
6396070000102501,342803,011114,1397/10/05
6396070000102188,342803,011114,1397/10/08
6104330000003139,342803,112413,1397/10/04
6037690000003879,342803,122008,1397/10/08
6037708000003016,342803,134918,1397/10/08
5028069000001061,342803,152105,1397/10/08
5892103000003668,342803,163141,1397/10/08
6219860000001786,342803,174315,1397/10/08
5892101000001446,342803,191221,1397/10/08
6362140000004155,342803,202805,1397/10/08
6037690000103171,342803,215927,1397/10/08
5057850000004149,342803,021700,1397/10/08
6037990000001522,342803,231536,1397/10/08
5028061000000965,342803,234530,1397/10/07
6273810000106294,342803,033222,1397/10/08
6104332000001960,342803,050200,1397/10/08
6277600000106770,342803,062757,1397/10/08
6221066000002606,342803,075715,1397/10/03
6104338000001184,342803,075853,1397/10/08
6277600000100358,342803,093523,1397/10/08
6104339000001133,342803,093548,1397/10/08
5057850000001145,342900,100350,1397/10/01
6396070000105620,342900,100907,1397/10/04
6396070000100222,342900,100907,1397/10/05
6396070000102465,342900,100907,1397/10/07
6362140000004105,342900,010143,1397/10/09
6396070000102501,342900,102440,1397/10/06
6219868000001433,342900,110259,1397/10/09
6037990000101108,342900,122008,1397/10/09
6104338000000671,342900,134918,1397/10/09
5057850000004065,342900,152105,1397/10/09
5028061000000965,342900,162103,1397/10/06
6037708000002363,342900,163141,1397/10/09
6219864000000860,342900,174315,1397/10/09
6396070000102188,342900,180631,1397/10/03
5894630000103343,342900,191221,1397/10/09
6369490000004010,342900,202805,1397/10/09
6221066000002606,342900,203821,1397/10/03
6037990000104450,342900,215927,1397/10/09
6037694000000796,342900,021700,1397/10/09
6037993000002032,342900,231536,1397/10/09
6104330000003139,342900,031831,1397/10/05
6274120000004117,342900,033222,1397/10/09
6221060000000751,342900,050200,1397/10/09
6362140000004159,342900,062757,1397/10/09
6221069000001895,342900,075853,1397/10/09
6280232000001434,342900,093523,1397/10/09
6219861000003294,342900,093548,1397/10/09
5057850000001184,342997,100350,1397/10/02
6393465000001249,342997,010143,1397/10/09
6104330000003139,342997,102623,1397/10/03
6396070000102501,342997,104319,1397/10/04
6396070000102188,342997,104319,1397/10/07
6221062000001065,342997,110259,1397/10/09
6037994000001093,342997,122008,1397/10/09
6221069000001068,342997,134918,1397/10/09
5057850000004157,342997,152105,1397/10/09
6104338000000515,342997,163141,1397/10/09
6396070000100222,342997,171934,1397/10/03
6396070000102465,342997,171934,1397/10/05
6396070000105620,342997,171934,1397/10/08
6273810000103238,342997,174315,1397/10/09
6037692000000152,342997,191221,1397/10/09
6393461000003509,342997,202805,1397/10/09
6037995000000053,342997,215927,1397/10/09
6037699000002464,342997,021700,1397/10/09
6104339000000341,342997,231536,1397/10/09
6221066000002606,342997,232245,1397/10/08
5028061000000965,342997,025343,1397/10/06
6274880000105477,342997,033222,1397/10/09
6221063000000972,342997,050200,1397/10/09
6369490000004023,342997,062757,1397/10/09
6280237000003694,342997,075853,1397/10/09
6367950000106742,342997,093523,1397/10/09
6219861000003924,342997,093548,1397/10/09
